ID,Rank,Color,Points,Black,Blue,Green,Red,White
1,1,black,0,0,1,1,1,1
2,1,black,0,0,2,1,1,1
3,1,black,0,0,2,0,1,2
4,1,black,0,1,0,1,3,0
5,1,black,0,0,0,2,1,0
6,1,black,0,0,0,2,0,2
7,1,black,0,0,0,3,0,0
8,1,black,1,0,4,0,0,0
9,1,blue,0,1,0,1,1,1
10,1,blue,0,1,0,1,2,1
11,1,blue,0,0,0,2,2,1
12,1,blue,0,0,1,3,1,0
13,1,blue,0,2,0,0,0,1
14,1,blue,0,2,0,2,0,0
15,1,blue,0,3,0,0,0,0
16,1,blue,1,0,0,0,4,0
17,1,white,0,1,1,1,1,0
18,1,white,0,1,1,2,1,0
19,1,white,0,1,2,2,0,0
20,1,white,0,1,1,0,0,3
21,1,white,0,1,0,0,2,0
22,1,white,0,2,2,0,0,0
23,1,white,0,0,3,0,0,0
24,1,white,1,0,0,4,0,0
25,1,green,0,1,1,0,1,1
26,1,green,0,2,1,0,1,1
27,1,green,0,2,1,0,2,0
28,1,green,0,0,3,1,0,1
29,1,green,0,0,1,0,0,2
30,1,green,0,0,2,0,2,0
31,1,green,0,0,0,0,3,0
32,1,green,1,4,0,0,0,0
33,1,red,0,1,1,1,0,1
34,1,red,0,1,1,1,0,2
35,1,red,0,2,0,1,0,2
36,1,red,0,3,0,0,1,1
37,1,red,0,0,2,1,0,0
38,1,red,0,0,0,0,2,2
39,1,red,0,0,0,0,0,3
40,1,red,1,0,0,0,0,4
41,2,black,1,0,2,2,0,3
42,2,black,1,2,0,3,0,3
43,2,black,2,0,1,4,2,0
44,2,black,2,0,0,5,3,0
45,2,black,2,0,0,0,0,5
46,2,black,3,6,0,0,0,0
47,2,blue,1,0,2,2,3,0
48,2,blue,1,3,2,3,0,0
49,2,blue,2,0,3,0,0,5
50,2,blue,2,4,0,0,1,2
51,2,blue,2,0,5,0,0,0
52,2,blue,3,0,6,0,0,0
53,2,white,1,2,0,3,2,0
54,2,white,1,0,3,0,3,2
55,2,white,2,2,0,1,4,0
56,2,white,2,3,0,0,5,0
57,2,white,2,0,0,0,5,0
58,2,white,3,0,0,0,0,6
59,2,green,1,0,0,2,3,3
60,2,green,1,2,3,0,0,2
61,2,green,2,1,2,0,0,4
62,2,green,2,0,5,3,0,0
63,2,green,2,0,0,5,0,0
64,2,green,3,0,0,6,0,0
65,2,red,1,3,0,0,2,2
66,2,red,1,3,3,0,2,0
67,2,red,2,0,4,2,0,1
68,2,red,2,5,0,0,0,3
69,2,red,2,5,0,0,0,0
70,2,red,3,0,0,0,6,0
71,3,black,3,0,3,5,3,3
72,3,black,4,0,0,0,7,0
73,3,black,4,3,0,3,6,0
74,3,black,5,3,0,0,7,0
75,3,blue,3,5,0,3,3,3
76,3,blue,4,0,0,0,0,7
77,3,blue,4,3,3,0,0,6
78,3,blue,5,0,3,0,0,7
79,3,white,3,3,3,3,5,0
80,3,white,4,7,0,0,0,0
81,3,white,4,6,0,0,3,3
82,3,white,5,7,0,0,0,3
83,3,green,3,3,3,0,3,5
84,3,green,4,0,7,0,0,0
85,3,green,4,0,6,3,0,3
86,3,green,5,0,7,3,0,0
87,3,red,3,3,5,3,0,3
88,3,red,4,0,0,7,0,0
89,3,red,4,0,3,6,3,0
90,3,red,5,0,0,7,3,0
